action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
left,25,red,left,-1.0,None,None,None,1
None,24,red,left,0.0,None,None,None,1
None,23,red,left,0.0,None,None,None,1
None,22,red,left,0.0,None,None,None,1
None,21,red,left,0.0,None,None,None,1
left,20,green,left,2.0,None,None,None,1
forward,19,red,forward,-1.0,None,None,None,1
None,18,red,forward,0.0,None,None,None,1
forward,17,green,forward,2.0,None,None,None,1
forward,16,green,forward,2.0,None,None,None,1
None,15,red,forward,0.0,None,None,None,1
None,14,red,forward,0.0,None,None,None,1
forward,13,green,forward,2.0,None,None,right,1
right,12,green,right,12.0,None,None,None,1
None,25,red,left,0.0,None,None,None,2
None,24,red,left,0.0,None,None,None,2
None,23,red,left,0.0,None,None,None,2
left,22,green,left,2.0,None,None,None,2
right,21,red,right,2.0,None,None,None,2
forward,20,green,forward,2.0,None,None,None,2
forward,19,red,forward,-1.0,None,left,None,2
None,18,red,forward,0.0,None,left,None,2
None,17,red,forward,0.0,None,left,None,2
None,16,red,forward,0.0,None,left,None,2
forward,15,green,forward,2.0,None,left,None,2
None,14,red,forward,0.0,None,None,None,2
None,13,red,forward,0.0,None,None,None,2
None,12,red,forward,0.0,None,None,None,2
None,11,red,forward,0.0,None,None,None,2
forward,10,green,forward,12.0,None,None,None,2
None,35,red,forward,0.0,None,None,None,3
None,34,red,forward,0.0,None,None,None,3
None,33,red,forward,0.0,None,None,None,3
None,32,red,forward,0.0,None,None,None,3
forward,31,green,forward,2.0,None,None,None,3
None,30,red,forward,0.0,None,None,None,3
None,29,red,forward,0.0,None,None,None,3
None,28,red,forward,0.0,None,None,None,3
forward,27,green,forward,2.0,None,None,None,3
forward,26,green,forward,2.0,None,None,None,3
right,25,red,right,2.0,None,None,None,3
None,24,red,forward,0.0,None,None,None,3
None,23,red,forward,0.0,None,None,None,3
None,22,red,forward,0.0,None,None,None,3
None,21,red,forward,0.0,None,None,None,3
forward,20,green,forward,2.0,None,None,None,3
None,19,red,forward,0.0,None,None,None,3
None,18,red,forward,0.0,None,None,None,3
None,17,red,forward,0.0,None,None,None,3
None,16,red,forward,0.0,None,None,None,3
forward,15,green,forward,2.0,None,None,None,3
forward,14,green,forward,12.0,None,None,None,3
None,35,red,left,0.0,None,None,None,4
None,34,red,left,0.0,None,None,None,4
None,33,red,left,0.0,None,None,None,4
left,32,green,left,2.0,None,None,None,4
None,31,red,forward,0.0,None,None,None,4
forward,30,green,forward,2.0,None,None,None,4
forward,29,green,forward,2.0,None,None,None,4
forward,28,green,forward,2.0,None,None,None,4
left,27,green,left,2.0,None,None,None,4
forward,26,green,forward,2.0,None,None,None,4
None,25,red,forward,0.0,None,None,None,4
forward,24,red,forward,-1.0,forward,None,None,4
None,23,red,forward,0.0,None,None,None,4
None,22,red,forward,0.0,None,None,None,4
None,21,red,forward,0.0,None,None,None,4
forward,20,green,forward,12.0,None,None,None,4
right,35,red,right,2.0,None,None,None,5
right,34,red,right,2.0,None,None,None,5
forward,33,green,forward,2.0,None,None,None,5
forward,32,green,forward,2.0,None,None,None,5
right,31,green,right,2.0,None,None,None,5
None,30,red,forward,0.0,None,None,None,5
None,29,red,forward,0.0,None,None,None,5
None,28,red,forward,0.0,None,None,None,5
None,27,red,forward,0.0,None,None,None,5
None,26,red,forward,0.0,None,None,None,5
forward,25,green,forward,2.0,None,left,None,5
None,24,red,forward,0.0,None,None,None,5
forward,23,green,forward,2.0,None,None,None,5
forward,22,green,forward,2.0,None,None,None,5
forward,21,green,forward,12.0,None,None,None,5
right,50,red,right,2.0,None,None,None,6
None,49,red,forward,0.0,None,None,None,6
None,48,red,forward,0.0,None,None,None,6
forward,47,green,forward,2.0,None,None,None,6
forward,46,green,forward,2.0,None,None,None,6
None,45,red,forward,0.0,None,None,None,6
None,44,red,forward,0.0,None,None,None,6
None,43,red,forward,0.0,None,None,None,6
forward,42,green,forward,2.0,None,None,None,6
None,41,red,forward,0.0,None,None,None,6
None,40,red,forward,0.0,None,None,None,6
None,39,red,forward,0.0,None,None,None,6
forward,38,green,forward,2.0,None,None,None,6
None,37,red,forward,0.0,None,None,None,6
None,36,red,forward,0.0,None,None,None,6
forward,35,green,forward,2.0,None,None,None,6
None,34,red,left,0.0,None,None,None,6
None,33,red,left,0.0,None,None,None,6
None,32,red,left,0.0,None,None,None,6
None,31,red,left,0.0,None,None,None,6
left,30,green,left,2.0,None,None,None,6
None,29,red,forward,0.0,None,None,None,6
None,28,red,forward,0.0,None,None,None,6
None,27,red,forward,0.0,None,None,None,6
forward,26,green,forward,2.0,None,None,None,6
forward,25,green,forward,2.0,None,None,None,6
forward,24,green,forward,12.0,None,None,None,6
None,50,red,forward,0.0,None,None,None,7
None,49,red,forward,0.0,None,None,None,7
None,48,red,forward,0.0,None,None,None,7
None,47,red,forward,0.0,None,None,None,7
None,46,red,forward,0.0,None,None,None,7
forward,45,green,forward,2.0,None,None,None,7
None,44,red,forward,0.0,None,None,None,7
None,43,red,forward,0.0,None,None,None,7
None,42,red,forward,0.0,None,None,None,7
forward,41,green,forward,2.0,None,None,None,7
forward,40,red,forward,-1.0,None,None,forward,7
None,39,red,forward,0.0,None,None,None,7
forward,38,green,forward,2.0,None,None,None,7
None,37,red,forward,0.0,None,None,None,7
None,36,red,forward,0.0,None,None,None,7
None,35,red,forward,0.0,None,None,None,7
forward,34,green,forward,2.0,None,None,None,7
forward,33,red,forward,-1.0,None,None,right,7
None,32,red,forward,0.0,None,None,None,7
None,31,red,forward,0.0,None,None,None,7
forward,30,green,forward,2.0,None,None,None,7
forward,29,green,forward,2.0,None,None,None,7
right,28,red,right,2.0,None,None,None,7
forward,27,green,forward,2.0,None,None,None,7
None,26,red,forward,0.0,None,None,right,7
forward,25,green,forward,2.0,None,None,right,7
None,24,red,forward,0.0,None,None,None,7
None,23,red,forward,0.0,None,None,None,7
None,22,red,forward,0.0,None,None,None,7
None,21,red,forward,0.0,None,None,None,7
forward,20,green,forward,12.0,None,None,None,7
None,20,red,left,0.0,None,None,None,8
None,19,red,left,0.0,None,None,None,8
None,18,red,left,0.0,None,None,None,8
None,17,red,left,0.0,None,None,None,8
None,16,red,left,0.0,None,None,None,8
left,15,green,left,2.0,None,None,None,8
right,14,green,right,2.0,None,None,None,8
None,13,red,forward,0.0,None,None,None,8
None,12,red,forward,0.0,None,None,None,8
forward,11,green,forward,2.0,None,None,None,8
forward,10,green,forward,12.0,right,None,None,8
None,25,red,left,0.0,None,None,None,9
None,24,red,left,0.0,None,None,None,9
None,23,red,left,0.0,None,None,None,9
left,22,green,left,2.0,None,None,None,9
None,21,red,forward,0.0,None,None,None,9
None,20,red,forward,0.0,None,None,None,9
None,19,red,forward,0.0,None,None,None,9
None,18,red,forward,0.0,None,None,None,9
forward,17,green,forward,2.0,None,None,None,9
None,16,red,forward,0.0,None,None,None,9
None,15,red,forward,0.0,None,None,None,9
None,14,red,forward,0.0,None,None,None,9
forward,13,green,forward,2.0,None,None,None,9
None,12,red,forward,0.0,None,None,None,9
None,11,red,forward,0.0,None,None,None,9
None,10,red,forward,0.0,None,None,None,9
forward,9,green,forward,2.0,None,None,None,9
right,8,red,right,12.0,None,None,None,9
None,30,red,left,0.0,None,None,None,10
None,29,red,left,0.0,None,None,None,10
None,28,red,left,0.0,None,None,None,10
None,27,red,left,0.0,None,None,None,10
None,26,red,left,0.0,None,None,None,10
left,25,green,left,2.0,None,None,None,10
forward,24,green,forward,2.0,None,None,None,10
forward,23,green,forward,2.0,None,None,None,10
forward,22,green,forward,2.0,None,None,None,10
right,21,red,right,2.0,None,None,None,10
None,20,red,forward,0.0,None,None,None,10
None,19,red,forward,0.0,None,None,None,10
None,18,red,forward,0.0,None,None,None,10
None,17,red,forward,0.0,None,None,None,10
None,16,red,forward,0.0,None,None,None,10
forward,15,green,forward,12.0,None,None,None,10
right,20,red,right,2.0,None,None,None,11
None,19,red,forward,0.0,None,None,None,11
None,18,red,forward,0.0,None,None,None,11
None,17,red,forward,0.0,None,None,None,11
forward,16,green,forward,2.0,None,None,None,11
None,15,red,forward,0.0,None,None,None,11
None,14,red,forward,0.0,None,None,None,11
None,13,red,forward,0.0,None,None,None,11
None,12,red,forward,0.0,None,None,None,11
None,11,red,forward,0.0,None,None,None,11
forward,10,green,forward,2.0,None,None,None,11
forward,9,green,forward,12.0,None,None,None,11
right,45,red,right,2.0,None,None,None,12
right,44,green,right,2.0,None,None,None,12
None,43,red,forward,0.0,None,None,None,12
forward,42,green,forward,2.0,None,None,None,12
forward,41,green,forward,2.0,None,None,left,12
forward,40,green,forward,2.0,None,None,None,12
forward,39,green,forward,2.0,None,None,None,12
right,38,green,right,2.0,None,None,None,12
None,37,red,forward,0.0,None,None,None,12
None,36,red,forward,0.0,None,None,None,12
None,35,red,forward,0.0,None,None,None,12
None,34,red,forward,0.0,None,None,None,12
forward,33,green,forward,2.0,None,None,None,12
None,32,red,forward,0.0,None,None,None,12
None,31,red,forward,0.0,None,None,None,12
None,30,red,forward,0.0,None,None,None,12
forward,29,green,forward,2.0,None,None,None,12
None,28,red,forward,0.0,None,None,None,12
forward,27,green,forward,2.0,None,None,None,12
None,26,red,forward,0.0,None,left,None,12
forward,25,green,forward,12.0,None,left,None,12
right,35,red,right,2.0,None,None,None,13
None,34,red,forward,0.0,None,None,None,13
None,33,red,forward,0.0,None,None,None,13
None,32,red,forward,0.0,None,None,None,13
forward,31,green,forward,2.0,None,None,None,13
forward,30,green,forward,2.0,None,None,None,13
None,29,red,forward,0.0,None,None,None,13
None,28,red,forward,0.0,None,None,None,13
forward,27,green,forward,2.0,None,None,None,13
left,26,green,left,2.0,None,None,None,13
None,25,red,forward,0.0,None,None,None,13
None,24,red,forward,0.0,None,None,None,13
forward,23,green,forward,2.0,None,None,None,13
forward,22,green,forward,12.0,None,None,None,13
right,50,green,right,2.0,None,None,None,14
forward,49,green,forward,2.0,None,None,None,14
None,48,red,forward,0.0,None,None,None,14
None,47,red,forward,0.0,None,None,None,14
None,46,red,forward,0.0,None,None,None,14
forward,45,green,forward,2.0,None,None,None,14
forward,44,green,forward,2.0,None,None,None,14
forward,43,green,forward,2.0,None,None,None,14
forward,42,green,forward,2.0,None,None,None,14
right,41,green,right,2.0,None,None,None,14
None,40,red,forward,0.0,None,None,None,14
None,39,red,forward,0.0,None,None,None,14
None,38,red,forward,0.0,None,None,None,14
None,37,red,forward,0.0,None,None,None,14
None,36,red,forward,0.0,None,None,None,14
forward,35,green,forward,2.0,None,None,None,14
forward,34,green,forward,2.0,None,None,None,14
None,33,red,forward,0.0,None,None,None,14
forward,32,green,forward,12.0,None,None,None,14
None,25,red,left,0.0,None,None,None,15
None,24,red,left,0.0,None,None,None,15
None,23,red,left,0.0,None,None,None,15
None,22,red,left,0.0,None,None,None,15
None,21,red,left,0.0,None,None,None,15
left,20,green,left,2.0,None,None,None,15
None,19,red,left,0.0,None,None,None,15
None,18,red,left,0.0,None,None,None,15
None,17,red,left,0.0,None,None,None,15
None,16,red,left,0.0,None,None,None,15
left,15,green,left,2.0,None,None,None,15
None,14,red,forward,0.0,None,None,None,15
forward,13,green,forward,2.0,None,None,None,15
None,12,red,forward,0.0,None,None,None,15
None,11,red,forward,0.0,None,None,None,15
forward,10,green,forward,2.0,None,None,None,15
forward,9,green,forward,12.0,None,None,None,15
right,40,green,right,2.0,None,None,None,16
forward,39,green,forward,2.0,None,None,None,16
None,38,red,forward,0.0,None,None,None,16
None,37,red,forward,0.0,None,None,None,16
None,36,red,forward,0.0,None,None,None,16
forward,35,green,forward,2.0,None,None,None,16
forward,34,green,forward,2.0,None,None,None,16
left,33,green,left,2.0,None,None,None,16
None,32,red,forward,0.0,None,None,None,16
forward,31,green,forward,2.0,None,None,None,16
forward,30,green,forward,2.0,None,None,None,16
None,29,red,forward,0.0,None,None,None,16
None,28,red,forward,0.0,None,None,forward,16
None,27,red,forward,0.0,None,None,None,16
None,26,red,forward,0.0,None,None,None,16
forward,25,green,forward,12.0,None,None,None,16
forward,30,green,forward,2.0,None,None,None,17
forward,29,green,forward,2.0,None,None,None,17
left,28,green,left,2.0,None,None,None,17
forward,27,green,forward,2.0,None,None,None,17
None,26,red,forward,0.0,None,None,None,17
None,25,red,forward,0.0,None,None,None,17
None,24,red,forward,0.0,None,None,None,17
None,23,red,forward,0.0,None,None,None,17
forward,22,green,forward,2.0,None,None,None,17
None,21,red,forward,0.0,None,None,None,17
None,20,red,forward,0.0,None,None,None,17
None,19,red,forward,0.0,forward,None,None,17
forward,18,green,forward,12.0,forward,None,None,17
right,50,green,right,2.0,None,None,None,18
right,49,red,right,2.0,None,None,None,18
forward,48,green,forward,2.0,None,None,None,18
forward,47,green,forward,2.0,None,None,None,18
forward,46,green,forward,2.0,None,None,None,18
None,45,red,forward,0.0,None,None,None,18
None,44,red,forward,0.0,None,None,None,18
None,43,red,forward,0.0,None,None,None,18
None,42,red,forward,0.0,None,None,None,18
None,41,red,forward,0.0,None,None,None,18
forward,40,green,forward,2.0,None,None,None,18
None,39,red,forward,0.0,None,None,None,18
None,38,red,forward,0.0,None,None,None,18
None,37,red,forward,0.0,None,None,None,18
None,36,red,forward,0.0,None,None,None,18
forward,35,green,forward,2.0,None,None,None,18
left,34,green,left,12.0,None,None,None,18
right,20,red,right,2.0,None,None,None,19
forward,19,green,forward,2.0,None,None,None,19
right,18,green,right,2.0,None,None,None,19
forward,17,green,forward,12.0,None,None,None,19
None,35,red,forward,0.0,None,None,None,20
None,34,red,forward,0.0,None,None,None,20
None,33,red,forward,0.0,None,None,None,20
None,32,red,forward,0.0,None,None,None,20
None,31,red,forward,0.0,None,None,None,20
forward,30,green,forward,2.0,None,None,None,20
forward,29,green,forward,2.0,None,None,None,20
forward,28,green,forward,2.0,None,None,None,20
forward,27,green,forward,2.0,None,None,None,20
forward,26,green,forward,2.0,left,None,None,20
None,25,red,left,0.0,None,None,None,20
None,24,red,left,0.0,None,None,None,20
left,23,green,left,2.0,None,None,None,20
forward,22,green,forward,12.0,None,None,None,20
None,30,red,left,0.0,None,None,None,21
None,29,red,left,0.0,None,None,None,21
None,28,red,left,0.0,None,None,None,21
None,27,red,left,0.0,None,None,None,21
left,26,green,left,2.0,None,None,None,21
None,25,red,forward,0.0,None,None,None,21
None,24,red,forward,0.0,None,None,None,21
None,23,red,forward,0.0,None,None,None,21
forward,22,green,forward,2.0,None,None,None,21
None,21,red,forward,0.0,None,None,None,21
None,20,red,forward,0.0,None,None,None,21
None,19,red,forward,0.0,None,None,None,21
forward,18,green,forward,2.0,None,None,None,21
None,17,red,left,0.0,None,None,None,21
None,16,red,left,0.0,None,None,None,21
left,15,green,left,2.0,left,None,None,21
None,14,red,forward,0.0,None,None,None,21
None,13,red,forward,0.0,None,None,None,21
forward,12,green,forward,2.0,None,None,None,21
None,11,red,forward,0.0,None,None,None,21
forward,10,green,forward,12.0,None,None,None,21
left,50,green,left,2.0,None,None,None,22
None,49,red,forward,0.0,None,None,None,22
None,48,red,forward,0.0,None,None,None,22
None,47,red,forward,0.0,None,None,None,22
None,46,red,forward,0.0,None,None,None,22
forward,45,green,forward,2.0,None,None,None,22
forward,44,green,forward,2.0,None,None,None,22
forward,43,green,forward,2.0,None,None,None,22
forward,42,green,forward,2.0,None,None,None,22
None,41,red,forward,0.0,None,None,None,22
forward,40,green,forward,2.0,None,None,None,22
forward,39,green,forward,2.0,None,None,None,22
None,38,red,left,0.0,None,None,None,22
None,37,red,left,0.0,None,None,None,22
None,36,red,left,0.0,None,None,None,22
left,35,green,left,2.0,None,None,right,22
forward,34,green,forward,2.0,None,None,None,22
None,33,red,forward,0.0,None,None,None,22
None,32,red,forward,0.0,None,None,None,22
None,31,red,forward,0.0,None,None,None,22
forward,30,green,forward,12.0,None,None,None,22
right,30,green,right,2.0,None,None,None,23
None,29,red,forward,0.0,None,None,None,23
None,28,red,forward,0.0,None,None,None,23
None,27,red,forward,0.0,None,None,None,23
None,26,red,forward,0.0,None,None,None,23
forward,25,green,forward,2.0,None,None,None,23
None,24,red,forward,0.0,None,None,None,23
None,23,red,forward,0.0,None,None,None,23
forward,22,green,forward,2.0,None,None,None,23
forward,21,green,forward,2.0,None,None,None,23
forward,20,green,forward,2.0,None,None,None,23
left,19,green,left,12.0,None,None,None,23
right,35,red,right,2.0,None,None,None,24
forward,34,green,forward,2.0,forward,None,None,24
forward,33,red,forward,-1.0,right,None,None,24
None,32,red,forward,0.0,None,None,None,24
forward,31,green,forward,2.0,None,None,None,24
None,30,red,forward,0.0,None,None,None,24
None,29,red,forward,0.0,None,None,None,24
None,28,red,forward,0.0,None,None,None,24
forward,27,green,forward,2.0,None,None,None,24
None,26,red,forward,0.0,None,None,None,24
None,25,red,forward,0.0,None,None,None,24
None,24,red,forward,0.0,None,None,None,24
forward,23,green,forward,2.0,None,None,None,24
right,22,green,right,2.0,None,None,None,24
forward,21,green,forward,12.0,None,None,None,24
None,20,red,left,0.0,None,None,None,25
None,19,red,left,0.0,None,None,None,25
None,18,red,left,0.0,None,None,None,25
None,17,red,left,0.0,None,None,None,25
left,16,green,left,2.0,None,None,None,25
None,15,red,forward,0.0,None,None,None,25
None,14,red,forward,0.0,None,None,None,25
None,13,red,forward,0.0,None,None,None,25
None,12,red,forward,0.0,None,None,None,25
None,11,red,forward,0.0,None,None,None,25
forward,10,green,forward,2.0,None,None,None,25
forward,9,green,forward,2.0,None,None,None,25
None,8,red,forward,0.0,None,None,None,25
None,7,red,forward,0.0,None,None,None,25
None,6,red,forward,0.0,None,None,None,25
None,5,red,forward,0.0,None,None,None,25
forward,4,green,forward,12.0,None,None,None,25
right,30,red,right,2.0,None,None,None,26
None,29,red,forward,0.0,None,None,None,26
None,28,red,forward,0.0,None,None,None,26
forward,27,green,forward,2.0,None,None,None,26
None,26,red,forward,0.0,None,None,None,26
None,25,red,forward,0.0,None,None,None,26
forward,24,green,forward,2.0,None,None,None,26
right,23,green,right,2.0,None,None,None,26
None,22,red,forward,0.0,None,None,None,26
None,21,red,forward,0.0,None,None,None,26
forward,20,green,forward,2.0,None,None,None,26
None,19,red,forward,0.0,None,None,None,26
None,18,red,forward,0.0,None,None,None,26
None,17,red,forward,0.0,None,None,None,26
None,16,red,forward,0.0,None,None,None,26
forward,15,green,forward,12.0,None,None,None,26
None,25,red,left,0.0,None,None,None,27
None,24,red,left,0.0,None,None,None,27
None,23,red,left,0.0,None,None,None,27
None,22,red,left,0.0,None,None,None,27
left,21,green,left,2.0,None,None,None,27
forward,20,green,forward,2.0,None,None,None,27
None,19,red,forward,0.0,None,None,None,27
None,18,red,forward,0.0,None,None,None,27
None,17,red,forward,0.0,None,None,None,27
forward,16,green,forward,2.0,None,None,None,27
forward,15,green,forward,2.0,None,None,None,27
None,14,red,forward,0.0,None,None,None,27
forward,13,green,forward,12.0,None,None,None,27
right,40,green,right,2.0,None,None,None,28
None,39,red,forward,0.0,None,None,None,28
None,38,red,forward,0.0,None,None,None,28
None,37,red,forward,0.0,None,None,None,28
None,36,red,forward,0.0,None,None,None,28
forward,35,green,forward,2.0,None,None,None,28
forward,34,green,forward,2.0,None,None,None,28
None,33,red,forward,0.0,None,None,None,28
None,32,red,forward,0.0,None,None,None,28
None,31,red,forward,0.0,None,None,None,28
forward,30,green,forward,2.0,None,None,None,28
forward,29,green,forward,2.0,None,None,None,28
None,28,red,forward,0.0,None,None,None,28
None,27,red,forward,0.0,None,None,None,28
None,26,red,forward,0.0,None,None,None,28
forward,25,green,forward,2.0,None,None,None,28
forward,24,green,forward,2.0,None,None,None,28
left,23,green,left,12.0,None,None,None,28
right,50,green,right,2.0,None,None,None,29
right,49,green,right,2.0,None,None,None,29
None,48,red,forward,0.0,None,None,None,29
forward,47,green,forward,2.0,None,None,None,29
None,46,red,forward,0.0,None,None,None,29
None,45,red,forward,0.0,None,None,None,29
None,44,red,forward,0.0,None,None,None,29
forward,43,red,forward,-1.0,None,None,left,29
forward,42,green,forward,2.0,None,None,left,29
forward,41,green,forward,2.0,None,None,None,29
None,40,red,forward,0.0,None,None,None,29
None,39,red,forward,0.0,None,None,None,29
forward,38,green,forward,2.0,None,None,None,29
None,37,red,left,0.0,None,None,None,29
None,36,red,left,0.0,None,None,None,29
left,35,green,left,2.0,None,None,None,29
forward,34,green,forward,2.0,None,None,None,29
None,33,red,forward,0.0,None,None,None,29
None,32,red,forward,0.0,None,None,None,29
None,31,red,forward,0.0,None,None,None,29
forward,30,green,forward,2.0,None,None,None,29
None,29,red,forward,0.0,None,None,None,29
None,28,red,forward,0.0,None,None,None,29
None,27,red,forward,0.0,None,None,None,29
forward,26,green,forward,12.0,None,None,None,29
left,30,green,left,2.0,None,None,None,30
forward,29,green,forward,2.0,None,None,None,30
right,28,red,right,2.0,None,None,None,30
forward,27,green,forward,2.0,None,None,None,30
forward,26,green,forward,2.0,None,None,None,30
forward,25,green,forward,12.0,None,None,None,30
None,35,red,forward,0.0,None,None,None,31
None,34,red,forward,0.0,None,None,None,31
None,33,red,forward,0.0,None,None,None,31
